.dockerignore	b5ae55f2cd3c6e6a318f34ed3273fdd5b6342d05740b4cc50d5edc0c7db8de8c	reviewed	已阅读全文并核对职责、测试/构建入口及现有审查基线；后续统一验证配置一致性。
.github/scripts/validate-go-test-discovery.test.mjs	a31542ef0a9bd05aa221628ee4ff480489ddd2b3764b30614f3e369cb3e32a6c	reviewed	Read all release scripts/workflows/notes and deployment inputs; missing release guards/latest ordering corrected with tested manifest verification. Legacy dual-image release documentation pending synchronization.
.github/scripts/validate-release-order.mjs	082d540800bb0b6472aa49644e8bfa1d7405fffec685445f08a33a79b56a8b77	reviewed	Read all release scripts/workflows/notes and deployment inputs; missing release guards/latest ordering corrected with tested manifest verification. Legacy dual-image release documentation pending synchronization.
.github/scripts/validate-release-tag.mjs	11fd7692fcc2a93e60b8cbd99a5a651552257999dd08afa1b6ed32fae9ed0906	reviewed	Read all release scripts/workflows/notes and deployment inputs; missing release guards/latest ordering corrected with tested manifest verification. Legacy dual-image release documentation pending synchronization.
.github/scripts/validate-release-tag.test.mjs	702be6f11b2190320ee198ece38feda76a2b50eb2aff0c3c6930a9bdabdf5d06	reviewed	Read all release scripts/workflows/notes and deployment inputs; missing release guards/latest ordering corrected with tested manifest verification. Legacy dual-image release documentation pending synchronization.
.github/scripts/validate-release-workflow.test.mjs	ffd37ff5997141aa7476f2ef5d25ee1d1caea940a6a50edc22f6a77231832477	reviewed	Release guards: main ancestry, complete notes, sequence, serialized publication, architecture label equality, immutable existing version reuse and digest latest promotion; 29 Node checks and affected ESLint passed. Docs aligned to existing single-image deployment.
.github/workflows/ci.yml	5028e7987b7f08a9cfd60751a72035c237717b2ee1afeb59883744a51da5179f	reviewed	Read all release scripts/workflows/notes and deployment inputs; missing release guards/latest ordering corrected with tested manifest verification. Legacy dual-image release documentation pending synchronization.
.github/workflows/release.yml	54608eabb5a680e1ea45eeb4b6e45ecbb470d8640ca895de23d8278e3f61a97e	reviewed	Release guards: main ancestry, complete notes, sequence, serialized publication, architecture label equality, immutable existing version reuse and digest latest promotion; 29 Node checks and affected ESLint passed. Docs aligned to existing single-image deployment.
.gitignore	0b510ba51cb5858e7f5e00e72ae0eead46f7ede3806000cec12c404f7af3d0dd	reviewed	Push preparation: ignore generated TanStack temporary cache; reviewed final integration validation note. All application code still matches the completed audit snapshot.
AGENTS.md	df70c5b4676812d9dc65bad2fe770415002f6b558292f189ccc38d63fd72d023	reviewed	Reviewed latest local source profile identity/version/scope contracts and source batch explicit fresh OAuth lifecycle; documentation matches implemented boundaries; desktop/mobile regression re-executed during closeout.
README.md	feec82b7abe2321e809af4493714e7355d87d2f0c783623fc622ce6bebb804b4	reviewed	Reviewed latest local source profile identity/version/scope contracts and source batch explicit fresh OAuth lifecycle; documentation matches implemented boundaries; desktop/mobile regression re-executed during closeout.
backend/.dockerignore	e479a57997eb5e3e53e02a080214590d6c320b31bcf5815a6171a34cf76d78bd	reviewed	已阅读全文并核对职责、测试/构建入口及现有审查基线；后续统一验证配置一致性。
backend/Dockerfile	cfbc719d629b6a8e27f3fba6f7982818009d4ea1def91e641687bada06d7381e	reviewed	Read all release scripts/workflows/notes and deployment inputs; missing release guards/latest ordering corrected with tested manifest verification. Legacy dual-image release documentation pending synchronization.
backend/docker-entrypoint.sh	9cfb8b25627425cac6585086333a140d588c12bc45cb4c8575e5d211862bb564	reviewed	Read all release scripts/workflows/notes and deployment inputs; missing release guards/latest ordering corrected with tested manifest verification. Legacy dual-image release documentation pending synchronization.
backend/go.mod	6ecee567142fef0b600f84eea516ab70c2f2c2b0aa225be1735b02efb6571ee3	reviewed	已阅读全文并核对职责、测试/构建入口及现有审查基线；后续统一验证配置一致性。
backend/go.sum	b741c9c25aba1b93a3e160936346af58f2feda826d8f59f92a9c6ef00153f898	reviewed	完整读取并检查脚本边界、静态SVG引用、图片来源与MIT声明；Go校验和格式核对
backend/internal/accountworkbench/__tests__/cleanup_format_test.go	43433568cbb3e56fadd9b295f0de8c1a7fccae7d67527d6d1045640dbc014600	reviewed	Reviewed isolated cleanup/export/import/maintenance/mixed/OAuth lifecycle tests, owner-target-version guards, credential redaction, cancellation, no-replay behavior and fixtures.
backend/internal/accountworkbench/__tests__/cleanup_lifecycle_test.go	ad6a42540821a8e8a16ea0bd7ed063c2ed4ceac6256b146e9eeb912698d77185	reviewed	Reviewed isolated cleanup/export/import/maintenance/mixed/OAuth lifecycle tests, owner-target-version guards, credential redaction, cancellation, no-replay behavior and fixtures.
backend/internal/accountworkbench/__tests__/cleanup_retention_test.go	6c2edf859cc6a61f6c30acc6d473cae60d057e59843902d80cc7960023743ed5	reviewed	Reviewed isolated cleanup/export/import/maintenance/mixed/OAuth lifecycle tests, owner-target-version guards, credential redaction, cancellation, no-replay behavior and fixtures.
backend/internal/accountworkbench/__tests__/cleanup_test.go	5e29c4d3bf041b56ac60d22c9c54dbcc180b34eb5b3a44b494a03f5d10e9ce17	reviewed	Reviewed isolated cleanup/export/import/maintenance/mixed/OAuth lifecycle tests, owner-target-version guards, credential redaction, cancellation, no-replay behavior and fixtures.
backend/internal/accountworkbench/__tests__/export_input_lifecycle_test.go	3beca86dff984522bd775b5df0bdbcbb3413375809aa6bd9243abe5f7a7688d1	reviewed	Reviewed isolated cleanup/export/import/maintenance/mixed/OAuth lifecycle tests, owner-target-version guards, credential redaction, cancellation, no-replay behavior and fixtures.
backend/internal/accountworkbench/__tests__/export_input_test.go	c1c2b9571049a09f2286366d1b46b8cbac17c7b96b7967ef5d6cabc3f3d285ed	reviewed	Reviewed isolated cleanup/export/import/maintenance/mixed/OAuth lifecycle tests, owner-target-version guards, credential redaction, cancellation, no-replay behavior and fixtures.
backend/internal/accountworkbench/__tests__/export_local_refresh_test.go	0bc9645891facad5714e1ab3eca9f07a967ab9d57fb9847d20028269a9c29743	reviewed	Read local-export/source-profile increment; task scope regression fixed after failing test; affected source-profile/local-export race passed 19.021s
backend/internal/accountworkbench/__tests__/export_local_test.go	50ef903591c01f1ebc5368a72497f11850813ffe72e6c842662ad00f4f169db0	reviewed	Read local-export/source-profile increment; task scope regression fixed after failing test; affected source-profile/local-export race passed 19.021s
backend/internal/accountworkbench/__tests__/export_profiles_lifecycle_test.go	4665c3e0042f3ce282f3006c2443b4a10d1af5b59e693f1304feb286d242c3ca	reviewed	Reviewed isolated cleanup/export/import/maintenance/mixed/OAuth lifecycle tests, owner-target-version guards, credential redaction, cancellation, no-replay behavior and fixtures.
backend/internal/accountworkbench/__tests__/export_profiles_test.go	ff55e581c09cfaaea1f192a4d91ea57efbc9e5e6f64e597c54723ef7fa3718e0	reviewed	Reviewed isolated cleanup/export/import/maintenance/mixed/OAuth lifecycle tests, owner-target-version guards, credential redaction, cancellation, no-replay behavior and fixtures.
backend/internal/accountworkbench/__tests__/export_storage_test.go	0a50c68e9e30502c58c9ec63c98d9e54b019ffc4d76f2cedaddf8187181fd6c7	reviewed	Reviewed isolated cleanup/export/import/maintenance/mixed/OAuth lifecycle tests, owner-target-version guards, credential redaction, cancellation, no-replay behavior and fixtures.
backend/internal/accountworkbench/__tests__/export_test.go	0031f77dddecc0dffacd6a94af3c05658040dfc5987c6621b0e4ee6b155bd115	reviewed	Reviewed isolated cleanup/export/import/maintenance/mixed/OAuth lifecycle tests, owner-target-version guards, credential redaction, cancellation, no-replay behavior and fixtures.
backend/internal/accountworkbench/__tests__/history_sms_test.go	4473e45afbe138290566ac1e004dbe4cff97096ffb33f067107596a2f1241340	reviewed	Reviewed isolated cleanup/export/import/maintenance/mixed/OAuth lifecycle tests, owner-target-version guards, credential redaction, cancellation, no-replay behavior and fixtures.
backend/internal/accountworkbench/__tests__/history_test.go	971efb42c0f0d8fd2fe44e75a17c490cc495badbed11200fd9b15c27d7b93670	reviewed	Reviewed isolated cleanup/export/import/maintenance/mixed/OAuth lifecycle tests, owner-target-version guards, credential redaction, cancellation, no-replay behavior and fixtures.
backend/internal/accountworkbench/__tests__/import_integrity_test.go	2f736fa42065fa0e47eab4dff1a798bf5f9d61fd5a13d75e1ca8136cff0a1e89	reviewed	Reviewed isolated cleanup/export/import/maintenance/mixed/OAuth lifecycle tests, owner-target-version guards, credential redaction, cancellation, no-replay behavior and fixtures.
backend/internal/accountworkbench/__tests__/import_test.go	4ee73224cd2c94b1d1cc9f7564a28ddaf9f5f0b2ff66032ce72968e69a888f7f	reviewed	Reviewed isolated cleanup/export/import/maintenance/mixed/OAuth lifecycle tests, owner-target-version guards, credential redaction, cancellation, no-replay behavior and fixtures.
backend/internal/accountworkbench/__tests__/maintenance_exchange_boundary_test.go	574f9e23765ae0de16ddabf0374a7b023a2223706877cbc35f7d05f460feba45	reviewed	Reviewed current integration and local export contract; token exchange checkpoint revocation and scoped SMS documented; isolated regression fixtures verified.
backend/internal/accountworkbench/__tests__/maintenance_reauthorization_test.go	b494246dffddd684239648f23812e059428b2a34e3d6900e1d053d6717ae56f3	reviewed	Reviewed isolated cleanup/export/import/maintenance/mixed/OAuth lifecycle tests, owner-target-version guards, credential redaction, cancellation, no-replay behavior and fixtures.
backend/internal/accountworkbench/__tests__/maintenance_redaction_test.go	6f17d7e81dc734c58285ac945fb39809e598b4b18424968e30dc88c34f1f1867	reviewed	Reviewed current implementation and incremental changes: scope binding, no replay checkpoint lifecycle, identity index semantics, redaction, loading and error states, API contract and browser regression coverage.
backend/internal/accountworkbench/__tests__/maintenance_test.go	b079de324b2948ac1621bcf806dfa1b78faee18f47eedc8e5bfd8f476a877fc4	reviewed	Reviewed isolated cleanup/export/import/maintenance/mixed/OAuth lifecycle tests, owner-target-version guards, credential redaction, cancellation, no-replay behavior and fixtures.
backend/internal/accountworkbench/__tests__/maintenance_upload_batch_test.go	da4389e932d9a87f61ab23262c988c7864d2761f0cc5a8c33416b816fda6a11a	reviewed	Reviewed current implementation and incremental changes: scope binding, no replay checkpoint lifecycle, identity index semantics, redaction, loading and error states, API contract and browser regression coverage.
backend/internal/accountworkbench/__tests__/maintenance_upload_boundaries_test.go	fc804dacd77896eeaf71af0f0661b24911deac95b37f0bb836b18c1b9719e531	reviewed	Reviewed isolated cleanup/export/import/maintenance/mixed/OAuth lifecycle tests, owner-target-version guards, credential redaction, cancellation, no-replay behavior and fixtures.
backend/internal/accountworkbench/__tests__/maintenance_upload_cancellation_test.go	e86d2d5d97afd0230dc0ddb98c11a1ea6ff2b01a04b2bb957cc5f013767d9418	reviewed	Reviewed current implementation and incremental changes: scope binding, no replay checkpoint lifecycle, identity index semantics, redaction, loading and error states, API contract and browser regression coverage.
backend/internal/accountworkbench/__tests__/maintenance_upload_test.go	c59064d8f87ae33702eb0caf4c9352ca3dba43723225512e596d4440a6c1f3b7	reviewed	Reviewed isolated cleanup/export/import/maintenance/mixed/OAuth lifecycle tests, owner-target-version guards, credential redaction, cancellation, no-replay behavior and fixtures.
backend/internal/accountworkbench/__tests__/mixed_lifecycle_test.go	0d71368d82d3100fa4c7e0b35cd6b8767acd23b140cb245b9014533e3036337b	reviewed	Reviewed isolated cleanup/export/import/maintenance/mixed/OAuth lifecycle tests, owner-target-version guards, credential redaction, cancellation, no-replay behavior and fixtures.
backend/internal/accountworkbench/__tests__/mixed_local_refresh_test.go	309c0e65c509661cb43539d4b79938952e88b09122bfb2c52a0f1b0a9c1a87b6	reviewed	Read complete isolated regressions: no RT call before final confirmation; local scope only; stable source indexes, official identity confirmation and responsive dialog overflow.
backend/internal/accountworkbench/__tests__/mixed_parse_test.go	4a00dad76c020dbdb9f5565ef976da6487314a699a764c9416daee6359d75858	reviewed	Reviewed isolated cleanup/export/import/maintenance/mixed/OAuth lifecycle tests, owner-target-version guards, credential redaction, cancellation, no-replay behavior and fixtures.
backend/internal/accountworkbench/__tests__/mixed_queue_checkpoint_test.go	a10c0deb1dfb276a5089fd44badc77c56ce74f1aa4e46e55067dcdb6d3ecbd1f	reviewed	backend-domains交叉复审全文：隔离网络/存储fixture及确定性等待，覆盖恢复保留身份/到期、授权不重放、取消撤销、摘要白名单、成功先落盘、活动任务重接
backend/internal/accountworkbench/__tests__/mixed_queue_recovery_test.go	d72510fbf52aa2ff69cca070a3bf2c3f2cdd2a374d66be4349defa2252e68a58	reviewed	backend-domains交叉复审全文：隔离网络/存储fixture及确定性等待，覆盖恢复保留身份/到期、授权不重放、取消撤销、摘要白名单、成功先落盘、活动任务重接
backend/internal/accountworkbench/__tests__/mixed_queue_scope_test.go	01834c700ba545f97a0838fa8b13c359154a012ff76d3b62aa4cdc991a0ceb3b	reviewed	backend-domains复审当前全文：活动检查点重接不新授权、会话/范围/版本防护、并发启动只创建一个私有父队列、启动/取消锁顺序及公开结果白名单
backend/internal/accountworkbench/__tests__/mixed_run_test.go	b76869ec44f6db0b0b05f9b0e3db56bc75355cef19d7c72ecd7ef29ef11a79e8	reviewed	Reviewed isolated cleanup/export/import/maintenance/mixed/OAuth lifecycle tests, owner-target-version guards, credential redaction, cancellation, no-replay behavior and fixtures.
backend/internal/accountworkbench/__tests__/oauth_assist_test.go	003c159c2f59393355fc6f072e361a452f3ca92d1678c61e6145afbb2368c12a	reviewed	Reviewed isolated cleanup/export/import/maintenance/mixed/OAuth lifecycle tests, owner-target-version guards, credential redaction, cancellation, no-replay behavior and fixtures.
backend/internal/accountworkbench/__tests__/oauth_automatic_checkpoint_fixture_test.go	3098199db7ac0c19869ecbd1c74d5a194a193250c00bb293505f7095b2f464bd	reviewed	backend-domains交叉复审全文：隔离网络/存储fixture及确定性等待，覆盖恢复保留身份/到期、授权不重放、取消撤销、摘要白名单、成功先落盘、活动任务重接
backend/internal/accountworkbench/__tests__/oauth_automatic_checkpoint_test.go	63cf1c2453adc3075c1fbeb55092ce58487a7094249084dc58f6c248f25bf09b	reviewed	backend-domains交叉复审全文：隔离网络/存储fixture及确定性等待，覆盖恢复保留身份/到期、授权不重放、取消撤销、摘要白名单、成功先落盘、活动任务重接
backend/internal/accountworkbench/__tests__/oauth_batch_lifecycle_test.go	5de5074e82dfd876a328a7d2c254b639fd8970ac0faaf5069c311ec11ddab5e2	reviewed	逐行复读本地安全批次接入与原测试：scope传递、来源预览及重验、用户去重、子会话保留与身份确认；现有TestSecurity race通过58.472s；保留容量边界待审
backend/internal/accountworkbench/__tests__/oauth_batch_parse_test.go	d198574283af47cabd3a934ce4270bdcf55c45130fd7214f23c9c56be415f5d9	reviewed	Reviewed parsing, PKCE, checkpoint/queue restoration, SMS receipts, security writes, profiles, retry reconciliation and template tests; verified isolated boundary fixtures and stable-ID/version/no-replay assertions.
backend/internal/accountworkbench/__tests__/oauth_checkpoint_exchange_test.go	77761225e8fb72aa859c3cb3c473b080b8ae3e3c6be411ec494c61b0565ffbe1	reviewed	backend-domains交叉复审全文：隔离网络/存储fixture及确定性等待，覆盖恢复保留身份/到期、授权不重放、取消撤销、摘要白名单、成功先落盘、活动任务重接
backend/internal/accountworkbench/__tests__/oauth_checkpoint_fixture_test.go	31f1b85aa5c70b6601702cd35202263c93a68f3a2a670c33e4ed94bd11c90040	reviewed	Full fixture/regression read: explicit official-identity second confirmation, changed identity and owner/scope/version rejects, no uncertain replay, isolated browser and temporary stores.
backend/internal/accountworkbench/__tests__/oauth_checkpoint_reconnect_test.go	d4a0292f116d013a33e608c4f3637a567b2807d7055db9c88a74dd9e9cce8510	reviewed	backend-domains复审当前全文：活动检查点重接不新授权、会话/范围/版本防护、并发启动只创建一个私有父队列、启动/取消锁顺序及公开结果白名单
backend/internal/accountworkbench/__tests__/oauth_checkpoint_test.go	e880e824023e0e5b100d42b15846a3ac950d8e605bfc0a0540145ed762326c71	reviewed	Reviewed parsing, PKCE, checkpoint/queue restoration, SMS receipts, security writes, profiles, retry reconciliation and template tests; verified isolated boundary fixtures and stable-ID/version/no-replay assertions.
backend/internal/accountworkbench/__tests__/oauth_local_export_test.go	b3756030f12d6c826f702c03c39247690eaf26ff6f520afc6a0ae01f884c2744	reviewed	Reviewed parsing, PKCE, checkpoint/queue restoration, SMS receipts, security writes, profiles, retry reconciliation and template tests; verified isolated boundary fixtures and stable-ID/version/no-replay assertions.
backend/internal/accountworkbench/__tests__/oauth_proxy_test.go	c04a6c87cb66f06ab835f5be624f6720e40cfa84c30c1b3b8c0f5760a8d8313f	reviewed	Reviewed parsing, PKCE, checkpoint/queue restoration, SMS receipts, security writes, profiles, retry reconciliation and template tests; verified isolated boundary fixtures and stable-ID/version/no-replay assertions.
backend/internal/accountworkbench/__tests__/oauth_sms_attachment_recovery_test.go	a76b775e4f4d2e3bdd36fed5a31d05d707bf07d355feb7c3addd95df205800a3	reviewed	Incremental content review: checkpoint claim/CAS and expiry, official identity confirmation before write, private artifact scope, SMS original-order retention, API no-store payloads and isolated browser workflow.
backend/internal/accountworkbench/__tests__/oauth_sms_attachment_test.go	6b24ce852231ac4d5fbc934e7dcea85a41857be44fe74be9920cf71b052eb53f	reviewed	Incremental complete read: scope and owner bindings, one-use checkpoint exchange, SMS order origin and attachment serialization; isolated regressions reviewed.
backend/internal/accountworkbench/__tests__/oauth_sms_test.go	5532c81a14d3db193a170a2127c030282feecf662cc324641d84cb26d2f1720d	reviewed	Reviewed parsing, PKCE, checkpoint/queue restoration, SMS receipts, security writes, profiles, retry reconciliation and template tests; verified isolated boundary fixtures and stable-ID/version/no-replay assertions.
backend/internal/accountworkbench/__tests__/oauth_test.go	e248ea40f2ad721a8fb50ec7724c4894962ef0b9994743f7285c47a82f1cf1ef	reviewed	Reviewed parsing, PKCE, checkpoint/queue restoration, SMS receipts, security writes, profiles, retry reconciliation and template tests; verified isolated boundary fixtures and stable-ID/version/no-replay assertions.
backend/internal/accountworkbench/__tests__/parse_test.go	0c25a9cd8c19965cbc9c53a0421894a3bc3c48de776986ac03782beb35877b92	reviewed	Reviewed parsing, PKCE, checkpoint/queue restoration, SMS receipts, security writes, profiles, retry reconciliation and template tests; verified isolated boundary fixtures and stable-ID/version/no-replay assertions.
backend/internal/accountworkbench/__tests__/preview_identity_test.go	eed302e0e2277765580b05600a9e39aee91e7cee8d8291db5ac0eea4d2153476	reviewed	Reviewed current implementation and incremental changes: scope binding, no replay checkpoint lifecycle, identity index semantics, redaction, loading and error states, API contract and browser regression coverage.
backend/internal/accountworkbench/__tests__/preview_test.go	d28bc06428abe8c036cc8b2d741afeeb73eff84f9db059a4808e440dbc9d8cc8	reviewed	Reviewed parsing, PKCE, checkpoint/queue restoration, SMS receipts, security writes, profiles, retry reconciliation and template tests; verified isolated boundary fixtures and stable-ID/version/no-replay assertions.
backend/internal/accountworkbench/__tests__/profiles_security_test.go	b89756054d7aed49494061bd141b7fc4da97eafeaae96377a88c8a1000c60ca4	reviewed	Reviewed parsing, PKCE, checkpoint/queue restoration, SMS receipts, security writes, profiles, retry reconciliation and template tests; verified isolated boundary fixtures and stable-ID/version/no-replay assertions.
backend/internal/accountworkbench/__tests__/profiles_test.go	b4ab013cd95bf4f2ba98cac716c5b15008ef62585226919407f1a844b62c3fc5	reviewed	Reviewed parsing, PKCE, checkpoint/queue restoration, SMS receipts, security writes, profiles, retry reconciliation and template tests; verified isolated boundary fixtures and stable-ID/version/no-replay assertions.
backend/internal/accountworkbench/__tests__/queue_checkpoint_test.go	1cbcb1dbeaa8b26fd80dfb50311d3ce93b1b7c02b8405d5e53046750ed6abdbf	reviewed	backend-domains交叉复审全文：隔离网络/存储fixture及确定性等待，覆盖恢复保留身份/到期、授权不重放、取消撤销、摘要白名单、成功先落盘、活动任务重接
backend/internal/accountworkbench/__tests__/queue_expiry_test.go	c11b1915cc6ec4ab254148da439d0cba373ff281c0a6b780286e887b52bf6212	reviewed	backend-domains交叉复审全文：隔离网络/存储fixture及确定性等待，覆盖恢复保留身份/到期、授权不重放、取消撤销、摘要白名单、成功先落盘、活动任务重接
backend/internal/accountworkbench/__tests__/queue_recovery_test.go	474e8dbcac28b4aab56613c3f5246f7af0930637748190567c76bf03340ac556	reviewed	Reviewed parsing, PKCE, checkpoint/queue restoration, SMS receipts, security writes, profiles, retry reconciliation and template tests; verified isolated boundary fixtures and stable-ID/version/no-replay assertions.
backend/internal/accountworkbench/__tests__/queue_result_name_test.go	2e16f41a159cda6b0127a8256e7660e5d99ebfa384c130de68514da450212efb	reviewed	backend-domains修复恢复已完成账号丢失原名称：公共恢复预览回归先失败后通过，队列/检查点相关race测试78.488s通过；保留Parse凭据及名称校验
backend/internal/accountworkbench/__tests__/queue_storage_recovery_test.go	516eb03042e7581e909eff3abfcb5aa448549ae4f58123537ac540aea47cb56e	reviewed	backend-domains交叉复审全文：隔离网络/存储fixture及确定性等待，覆盖恢复保留身份/到期、授权不重放、取消撤销、摘要白名单、成功先落盘、活动任务重接
backend/internal/accountworkbench/__tests__/queue_summary_test.go	97be5af1ed02687ce41394280abf75c3ce2b33761b2a951fb477365eae800e09	reviewed	backend-domains交叉复审全文：隔离网络/存储fixture及确定性等待，覆盖恢复保留身份/到期、授权不重放、取消撤销、摘要白名单、成功先落盘、活动任务重接
backend/internal/accountworkbench/__tests__/queue_validation_test.go	8a82c4632060732ce1e56e7e4e34d3ca9f3879b691d0ff0924d07427e783330e	reviewed	Reviewed complete fixture: inconsistent recovered identities and result cardinality are rejected before any browser or follow-up login.
backend/internal/accountworkbench/__tests__/reauthorization_history_test.go	45e41a01c354f10f3af18d15b03465596f82ef8b814309169d68682a4a753526	reviewed	Reviewed parsing, PKCE, checkpoint/queue restoration, SMS receipts, security writes, profiles, retry reconciliation and template tests; verified isolated boundary fixtures and stable-ID/version/no-replay assertions.
backend/internal/accountworkbench/__tests__/reauthorization_maintenance_test.go	91941505c945893c330d514e773c510f8181416e1c2e156be448e17871e22683	reviewed	Reviewed parsing, PKCE, checkpoint/queue restoration, SMS receipts, security writes, profiles, retry reconciliation and template tests; verified isolated boundary fixtures and stable-ID/version/no-replay assertions.
backend/internal/accountworkbench/__tests__/reauthorization_test.go	bb0fafed620f64661fd368c5c6983a0f40b7999e1bfb7ca29dd8b82309ddc602	reviewed	Reviewed parsing, PKCE, checkpoint/queue restoration, SMS receipts, security writes, profiles, retry reconciliation and template tests; verified isolated boundary fixtures and stable-ID/version/no-replay assertions.
